Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.93,0.96,1.09,1.05,1.12,1.14,1.06,1.05,1.08
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.1,0.92,0.94,1.07,1.04,1.1,1.13,1.04,1.04,1.06
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.07,0.9,0.93,1.06,1.02,1.08,1.11,1.02,1.02,1.05
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.05,0.88,0.91,1.04,1.0,1.07,1.09,1.01,1.01,1.03
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.03,0.87,0.89,1.03,0.98,1.05,1.08,0.99,0.99,1.02
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.85,0.88,1.01,0.96,1.03,1.06,0.97,0.97,1.0
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.98,0.83,0.86,1.0,0.94,1.02,1.04,0.96,0.96,0.98
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.95,0.82,0.84,0.98,0.93,1.0,1.02,0.94,0.94,0.96
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.93,0.8,0.83,0.97,0.91,0.98,1.0,0.93,0.92,0.94
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.9,0.78,0.81,0.95,0.89,0.97,0.99,0.91,0.91,0.92
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.88,0.76,0.8,0.94,0.87,0.95,0.97,0.9,0.89,0.91
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.85,0.74,0.78,0.92,0.85,0.94,0.95,0.88,0.88,0.89
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.82,0.73,0.77,0.9,0.83,0.92,0.93,0.86,0.86,0.87
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.8,0.71,0.76,0.89,0.81,0.9,0.91,0.84,0.84,0.86
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.77,0.69,0.73,0.87,0.79,0.88,0.89,0.82,0.82,0.84
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.74,0.67,0.71,0.85,0.78,0.87,0.88,0.81,0.81,0.82
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.72,0.65,0.69,0.84,0.76,0.85,0.86,0.79,0.79,0.8
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.69,0.63,0.68,0.82,0.74,0.83,0.84,0.77,0.77,0.78
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.66,0.62,0.66,0.81,0.72,0.82,0.82,0.75,0.75,0.76
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.64,0.6,0.64,0.79,0.7,0.8,0.8,0.74,0.74,0.75
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.61,0.58,0.63,0.77,0.68,0.78,0.79,0.72,0.72,0.73
