Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.33,,,0,1.38,,,0,1.46,,,0,1.48,,,0,1.4,,,0,1.48,,,0,1.51,,,0,1.5,,,0,1.55,,,0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.33,0.02,,0.02,1.38,0.01,,0.02,1.46,0.14,,0.02,1.48,-0.02,,0.02,1.4,0.01,,0.02,1.48,0.08,,0.02,1.51,0.01,,0.02,1.5,-0.07,,0.02,1.56,0.31,,0.02,1.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,1.33,2.25E-4,-0.71,0.04,1.38,-0.06,-2.26,0.04,1.46,0.12,3.74,0.04,1.48,0.06,3.68,0.04,1.4,0.01,-0.19,0.04,1.48,0.07,-1.56,0.04,1.51,0.01,-0.92,0.04,1.5,0.02,2.96,0.04,1.57,0.27,-3.93,0.04,1.46,0.05,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,1.33,-0.01,-0.72,0.06,1.37,-0.08,0.35,0.06,1.46,0.29,3.29,0.06,1.48,0.13,2.27,0.06,1.4,0,0.96,0.06,1.48,0.02,-2.06,0.06,1.51,-0.02,-1.07,0.06,1.5,0.05,0.75,0.06,1.56,0.15,-6.42,0.06,1.46,0.06,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,1.33,-0.02,-0.64,0.08,1.37,-0.03,1.8,0.08,1.47,0.41,-1.98,0.08,1.48,0.18,-0.4,0.08,1.4,0.02,3.29,0.08,1.48,-0.05,-1.43,0.08,1.51,-0.05,-0.58,0.08,1.5,0.03,-0.41,0.08,1.59,-0.04,-5.79,0.08,1.47,0.01,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.33,-0.04,-0.32,0.1,1.37,0.03,1.3,0.1,1.49,0.24,-8.24,0.1,1.49,0.13,-3.38,0.1,1.4,0.12,5.28,0.1,1.48,-0.05,0.14,0.1,1.51,-0.05,0.54,0.1,1.5,0.01,-0.37,0.1,1.56,-0.15,-0.72,0.1,1.46,0.01,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,1.32,-0.04,0.32,0.12,1.38,0.05,-0.53,0.12,1.49,-0.07,-7.71,0.12,1.49,0,-4.67,0.12,1.4,0.29,4.21,0.12,1.48,-0.03,1.55,0.12,1.51,-0.03,1.91,0.12,1.5,0.01,0.36,0.12,1.56,-0.12,4.73,0.12,1.46,0.02,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,1.32,-0.03,0.68,0.14,1.38,0,-1.75,0.14,1.47,-0.21,-1.38,0.14,1.49,-0.11,-3.21,0.14,1.41,0.36,-0.31,0.14,1.48,0.02,1.88,0.14,1.51,0.02,2.57,0.14,1.5,0.02,1.75,0.14,1.57,0.15,5.47,0.14,1.47,0.01,-1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,1.32,-5.52E-04,0.73,0.16,1.38,-0.06,-1.31,0.16,1.47,-0.05,3.27,0.16,1.48,-0.14,-0.4,0.16,1.42,0.27,-4.95,0.16,1.48,0.06,1.25,0.16,1.51,0.1,1.27,0.16,1.5,0.06,3.1,0.16,1.56,0.23,0.64,0.16,1.46,-0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,1.32,0,0.77,0.18,1.37,-0.07,0,0.18,1.48,0.06,2.67,0.18,1.48,-0.1,1.75,0.18,1.42,0.09,-6.04,0.18,1.48,0.08,-0.16,0.18,1.51,0.12,-1,0.18,1.51,0.17,2.4,0.18,1.58,0.15,-5.35,0.18,1.46,-0.08,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
